Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Krey, V., Luderer, G., Clarke, L., Kriegler, E.","Getting from here to there - energy technology transformation pathways in the EMF27 scenarios",2014,"Climatic Change","123","3-4",,"369","382",,42,10.1007/s10584-013-0947-5,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84898545073&doi=10.1007%2fs10584-013-0947-5&partnerID=40&md5=bc2fe6a4ac6603a491392eb758b51db7",Article,Scopus,2-s2.0-84898545073
"Akashi, O., Hanaoka, T., Masui, T., Kainuma, M.","Halving global GHG emissions by 2050 without depending on nuclear and CCS",2014,"Climatic Change","123","3-4",,"611","622",,9,10.1007/s10584-013-0942-x,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84898416241&doi=10.1007%2fs10584-013-0942-x&partnerID=40&md5=cfa58211aa9fcdbea160d2a7207bff05",Article,Scopus,2-s2.0-84898416241
"Griffin, B., Buisson, P., Criqui, P., Mima, S.","White Knights: Will wind and solar come to the rescue of a looming capacity gap from nuclear phase-out or slow CCS start-up?",2014,"Climatic Change","123","3-4",,"623","635",,7,10.1007/s10584-013-0963-5,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84898436293&doi=10.1007%2fs10584-013-0963-5&partnerID=40&md5=1b3209403454dddc0700df4e9d4c0860",Article,Scopus,2-s2.0-84898436293
"Sands, R.D., Förster, H., Jones, C.A., Schumacher, K.","Bio-electricity and land use in the Future Agricultural Resources Model (FARM)",2014,"Climatic Change","123","3-4",,"719","730",,8,10.1007/s10584-013-0943-9,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84892834870&doi=10.1007%2fs10584-013-0943-9&partnerID=40&md5=a48369fd75fc0d5d86548ae52a222b56",Article,Scopus,2-s2.0-84892834870
"Bibas, R., Méjean, A.","Potential and limitations of bioenergy for low carbon transitions",2014,"Climatic Change","123","3-4",,"731","761",,4,10.1007/s10584-013-0962-6,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84898545717&doi=10.1007%2fs10584-013-0962-6&partnerID=40&md5=c7fb5a9dcb855cce58b137ed4155f723",Article,Scopus,2-s2.0-84898545717
"Klein, D., Luderer, G., Kriegler, E., Strefler, J., Bauer, N., Leimbach, M., Popp, A., Dietrich, J.P., Humpenöder, F., Lotze-Campen, H., Edenhofer, O.","The value of bioenergy in low stabilization scenarios: An assessment using REMIND-MAgPIE",2014,"Climatic Change","123","3-4",,"705","718",,23,10.1007/s10584-013-0940-z,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84898434603&doi=10.1007%2fs10584-013-0940-z&partnerID=40&md5=efc36f19b04b9b613d59d9ee7c174f91",Article,Scopus,2-s2.0-84898434603
"Koelbl, B.S., van den Broek, M.A., Faaij, A.P.C., van Vuuren, D.P.","Uncertainty in Carbon Capture and Storage (CCS) deployment projections: A cross-model comparison exercise",2014,"Climatic Change","123","3-4",,"461","476",,18,10.1007/s10584-013-1050-7,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84898540128&doi=10.1007%2fs10584-013-1050-7&partnerID=40&md5=89eade8e4a7e860a62b01da8137fc32a",Article,Scopus,2-s2.0-84898540128
"Rose, S.K., Richels, R., Smith, S., Riahi, K., Strefler, J., van Vuuren, D.P.","Non-Kyoto radiative forcing in long-run greenhouse gas emissions and climate change scenarios",2014,"Climatic Change","123","3-4",,"511","525",,7,10.1007/s10584-013-0955-5,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84898549764&doi=10.1007%2fs10584-013-0955-5&partnerID=40&md5=125f63749bfb744198cd29af4663c1ec",Article,Scopus,2-s2.0-84898549764
"van Vliet, J., Hof, A.F., Mendoza Beltran, A., van den Berg, M., Deetman, S., den Elzen, M.G.J., Lucas, P.L., van Vuuren, D.P.","The impact of technology availability on the timing and costs of emission reductions for achieving long-term climate targets",2014,"Climatic Change","123","3-4",,"559","569",,8,10.1007/s10584-013-0961-7,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84898485061&doi=10.1007%2fs10584-013-0961-7&partnerID=40&md5=787d0a1c7e095b35802474751e333578",Article,Scopus,2-s2.0-84898485061
"Rose, S.K., Kriegler, E., Bibas, R., Calvin, K., Popp, A., van Vuuren, D.P., Weyant, J.","Bioenergy in energy transformation and climate management",2014,"Climatic Change","123","3-4",,"477","493",,43,10.1007/s10584-013-0965-3,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84898545139&doi=10.1007%2fs10584-013-0965-3&partnerID=40&md5=b7bef87a0d7e90e8de02898b1299dcda",Article,Scopus,2-s2.0-84898545139
"Tavoni, M., Socolow, R.","Modeling meets science and technology: An introduction to a special issue on negative emissions",2013,"Climatic Change","118","1",,"1","14",,39,10.1007/s10584-013-0757-9,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84876142186&doi=10.1007%2fs10584-013-0757-9&partnerID=40&md5=c2ad2295c362d8dc1e45f7d34118b341",Article,Scopus,2-s2.0-84876142186
"Chen, C., Tavoni, M.","Direct air capture of CO<inf>2</inf> and climate stabilization: A model based assessment",2013,"Climatic Change","118","1",,"59","72",,12,10.1007/s10584-013-0714-7,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84876679497&doi=10.1007%2fs10584-013-0714-7&partnerID=40&md5=9b573c66cfed4cde9009f283d3611e38",Article,Scopus,2-s2.0-84876679497
"Kriegler, E., Edenhofer, O., Reuster, L., Luderer, G., Klein, D.","Is atmospheric carbon dioxide removal a game changer for climate change mitigation?",2013,"Climatic Change","118","1",,"45","57",,37,10.1007/s10584-012-0681-4,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84876680390&doi=10.1007%2fs10584-012-0681-4&partnerID=40&md5=d38fcce679494703a09960a771e50854",Article,Scopus,2-s2.0-84876680390
"van Vuuren, D.P., Deetman, S., van Vliet, J., van den Berg, M., van Ruijven, B.J., Koelbl, B.","The role of negative CO<inf>2</inf> emissions for reaching 2 °C-insights from integrated assessment modelling",2013,"Climatic Change","118","1",,"15","27",,44,10.1007/s10584-012-0680-5,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84876695082&doi=10.1007%2fs10584-012-0680-5&partnerID=40&md5=ac7ac2a6e4bf60ec53370b728c29de42",Article,Scopus,2-s2.0-84876695082
"Fuss, S., Reuter, W.H., Szolgayová, J., Obersteiner, M.","Optimal mitigation strategies with negative emission technologies and carbon sinks under uncertainty",2013,"Climatic Change","118","1",,"73","87",,10,10.1007/s10584-012-0676-1,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84876671772&doi=10.1007%2fs10584-012-0676-1&partnerID=40&md5=8f1036696fd4e3e95caef532c41abe5b",Article,Scopus,2-s2.0-84876671772
"Edmonds, J., Luckow, P., Calvin, K., Wise, M., Dooley, J., Kyle, P., Kim, S.H., Patel, P., Clarke, L.","Can radiative forcing be limited to 2.6 Wm-2 without negative emissions from bioenergy AND CO<inf>2</inf> capture and storage?",2013,"Climatic Change","118","1",,"29","43",,24,10.1007/s10584-012-0678-z,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84876664685&doi=10.1007%2fs10584-012-0678-z&partnerID=40&md5=63563d88705303f82ec683c1e006d54b",Article,Scopus,2-s2.0-84876664685
"Azar, C., Johansson, D.J.A., Mattsson, N.","Meeting global temperature targets - The role of bioenergy with carbon capture and storage",2013,"Environmental Research Letters","8","3", 034004,"","",,35,10.1088/1748-9326/8/3/034004,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84885643388&doi=10.1088%2f1748-9326%2f8%2f3%2f034004&partnerID=40&md5=43fdf8161c3d239ea9b56e7abb9e45a6",Article,Scopus,2-s2.0-84885643388
"Lemoine, D.M., Fuss, S., Szolgayova, J., Obersteiner, M., Kammen, D.M.","The influence of negative emission technologies and technology policies on the optimal climate mitigation portfolio",2012,"Climatic Change","113","2",,"141","162",,10,10.1007/s10584-011-0269-4,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84862140190&doi=10.1007%2fs10584-011-0269-4&partnerID=40&md5=012bbcd32b369111dd95fffb8d1e306f",Article,Scopus,2-s2.0-84862140190
"Ricci, O.","Providing adequate economic incentives for bioenergies with CO <inf>2</inf> capture and geological storage",2012,"Energy Policy","44",,,"362","373",,15,10.1016/j.enpol.2012.01.066,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84858294147&doi=10.1016%2fj.enpol.2012.01.066&partnerID=40&md5=a279004a388dd3249063348388618130",Article,Scopus,2-s2.0-84858294147
"Klein, D., Bauer, N., Bodirsky, B., Dietrich, J.P., Popp, A.","Bio-IGCC with CCS as a long-term mitigation option in a coupled energy-system and land-use model",2011,"Energy Procedia","4",,,"2933","2940",,17,10.1016/j.egypro.2011.02.201,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-79955373799&doi=10.1016%2fj.egypro.2011.02.201&partnerID=40&md5=4ddea56c54ec5451f74deaec8d603c74",Conference Paper,Scopus,2-s2.0-79955373799
"Luckow, P., Wise, M.A., Dooley, J.J., Kim, S.H.","Large-scale utilization of biomass energy and carbon dioxide capture and storage in the transport and electricity sectors under stringent CO<inf>2</inf> concentration limit scenarios",2010,"International Journal of Greenhouse Gas Control","4","5",,"865","877",,61,10.1016/j.ijggc.2010.06.002,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-77955419367&doi=10.1016%2fj.ijggc.2010.06.002&partnerID=40&md5=bd2477aba7937d409327ac79dc48d15e",Article,Scopus,2-s2.0-77955419367
"Azar, C., Lindgren, K., Obersteiner, M., Riahi, K., van Vuuren, D.P., den Elzen, K.M.G.J., Möllersten, K., Larson, E.D.","The feasibility of low CO<inf>2</inf> concentration targets and the role of bio-energy with carbon capture and storage (BECCS)",2010,"Climatic Change","100","1",,"195","202",,112,10.1007/s10584-010-9832-7,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-77952603941&doi=10.1007%2fs10584-010-9832-7&partnerID=40&md5=6516f9ac52f0cea583bbed9ba6efd1c8",Article,Scopus,2-s2.0-77952603941
"Fawcett, A.A., Calvin, K.V., de la Chesnaye, F.C., Reilly, J.M., Weyant, J.P.","Overview of EMF 22 U.S. transition scenarios",2009,"Energy Economics","31","SUPPL. 2",,"S198","S211",,36,10.1016/j.eneco.2009.10.015,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-70649095270&doi=10.1016%2fj.eneco.2009.10.015&partnerID=40&md5=4f848572e6a9e8ecda33d5211b0f974a",Article,Scopus,2-s2.0-70649095270
"Clarke, L., Edmonds, J., Krey, V., Richels, R., Rose, S., Tavoni, M.","International climate policy architectures: Overview of the EMF 22 International Scenarios",2009,"Energy Economics","31","SUPPL. 2",,"S64","S81",,281,10.1016/j.eneco.2009.10.013,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-70350719388&doi=10.1016%2fj.eneco.2009.10.013&partnerID=40&md5=9b07ea37e037261242ebe09d7f33d0b2",Article,Scopus,2-s2.0-70350719388
"Krey, V., Riahi, K.","Implications of delayed participation and technology failure for the feasibility, costs, and likelihood of staying below temperature targets-Greenhouse gas mitigation scenarios for the 21st century",2009,"Energy Economics","31","SUPPL. 2",,"S94","S106",,49,10.1016/j.eneco.2009.07.001,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-70749126786&doi=10.1016%2fj.eneco.2009.07.001&partnerID=40&md5=30d970d463747cefd78a1058cb16cd91",Article,Scopus,2-s2.0-70749126786
"van Vliet, J., den Elzen, M.G.J., van Vuuren, D.P.","Meeting radiative forcing targets under delayed participation",2009,"Energy Economics","31","SUPPL. 2",,"S152","S162",,37,10.1016/j.eneco.2009.06.010,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-70749151959&doi=10.1016%2fj.eneco.2009.06.010&partnerID=40&md5=0aacde25876f459b2465aad239432fef",Article,Scopus,2-s2.0-70749151959
"Calvin, K., Patel, P., Fawcett, A., Clarke, L., Fisher-Vanden, K., Edmonds, J., Kim, S.H., Sands, R., Wise, M.","The distribution and magnitude of emissions mitigation costs in climate stabilization under less than perfect international cooperation: SGM results",2009,"Energy Economics","31","SUPPL. 2",,"S187","S197",,34,10.1016/j.eneco.2009.06.014,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-70749148583&doi=10.1016%2fj.eneco.2009.06.014&partnerID=40&md5=8fe38e9b4bc8c9d4869f8966e9d8e010",Article,Scopus,2-s2.0-70749148583
